id,status_group
45786,others
39181,others
60073,functional needs repair
10708,others
60497,others
60650,others
44991,functional needs repair
22027,others
13396,functional needs repair
40096,others
47145,others
35454,others
50044,others
39416,functional needs repair
18346,functional needs repair
30466,others
51331,functional needs repair
58305,others
53802,others
8916,others
35759,functional needs repair
17062,others
71490,others
50975,functional needs repair
8201,others
50986,others
30885,functional needs repair
15400,others
67428,functional needs repair
51579,others
14596,others
12598,others
37812,functional needs repair
21348,others
23437,functional needs repair
63577,functional needs repair
13532,functional needs repair
18005,others
22670,others
385,functional needs repair
9970,others
65345,others
73992,others
70257,others
4031,others
23276,functional needs repair
22931,functional needs repair
17503,others
55901,others
40832,functional needs repair
50910,others
1834,others
61683,others
68167,others
67300,others
67101,functional needs repair
30333,others
6738,others
28262,others
21260,others
18091,functional needs repair
62211,others
21232,others
12978,others
57783,functional needs repair
25215,others
29961,functional needs repair
61529,others
65538,others
47972,functional needs repair
70310,functional needs repair
68781,functional needs repair
66988,others
16690,functional needs repair
57873,others
20929,functional needs repair
54877,others
12499,others
74069,others
34331,functional needs repair
12961,others
17327,others
36291,functional needs repair
26945,others
1772,others
30258,others
53587,others
57131,functional needs repair
36338,others
66103,others
56998,functional needs repair
9346,others
11094,others
23144,others
31946,functional needs repair
18457,others
52914,functional needs repair
39655,functional needs repair
47745,others
5357,others
12531,others
66221,others
40587,functional needs repair
33686,functional needs repair
16567,functional needs repair
25692,functional needs repair
61115,others
65357,functional needs repair
72793,others
22166,others
29891,others
69788,others
71550,functional needs repair
43706,others
49502,others
39787,others
47719,others
23632,others
55636,others
57021,functional needs repair
14117,others
46222,others
12809,functional needs repair
12009,others
694,functional needs repair
20114,others
61524,others
40650,others
66805,others
10401,others
25327,others
47112,others
67471,others
61927,functional needs repair
71395,others
63766,others
63687,others
14104,functional needs repair
31303,others
72538,functional needs repair
26985,functional needs repair
9133,others
42871,functional needs repair
36519,others
61334,others
6765,functional needs repair
17900,others
61945,others
26278,others
61478,others
71235,others
44015,others
41484,others
38535,others
34576,functional needs repair
52366,others
12963,others
13743,others
32311,functional needs repair
51120,others
35484,others
23569,others
33319,functional needs repair
315,others
57320,others
9226,others
